GRAFFITI,POT_HOLES,RODENTS,GARBAGE,STREET_LIGHTS,TREE DEBRIS,ABANDONED_BUILDINGS,ASSAULT,BATTERY,BURGLARY,CRIMINAL_DAMAGE,CRIMINAL_TRESSPASS,DECEPTIVE_PRACTICE,MOTOR_VEHICLE_THEFT,NARCOTICS,OTHER,ROBBERY,THEFT,311 TOTALS,CRIME TOTALS
0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,6
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,1,1,0,0,0,0,1,0,1,2,0,0,0,92,0,1,0,2,96
0,1,1,0,0,0,0,7,27,0,11,76,19,1,8,184,0,163,2,489
0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,44,0,11,0,61
0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,4
1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,2,3
3,0,0,0,0,0,0,6,22,0,10,60,6,0,10,159,0,68,3,335
0,0,0,0,0,0,0,2,7,0,2,1,4,4,1,1,0,8,0,28
0,8,0,0,0,0,0,2,4,0,2,1,1,0,0,1,0,8,8,17
2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
1,6,0,7,11,10,2,0,2,3,1,0,1,0,0,1,0,2,37,10
35,73,12,17,33,20,1,14,57,11,48,7,22,13,3,37,3,85,191,286
4,67,0,3,7,0,0,9,10,5,18,0,11,5,5,18,6,69,81,147
3,15,4,1,5,8,1,1,2,1,2,0,1,1,0,7,0,2,37,16
41,193,87,64,99,101,20,27,75,47,79,9,22,19,7,57,3,81,605,399
3,58,2,12,22,37,6,1,5,10,10,2,2,0,17,10,2,8,140,66
13,162,16,12,68,95,5,9,12,8,25,1,9,4,2,14,2,35,371,112
5,146,10,6,42,48,1,6,26,8,27,8,4,3,2,16,0,25,258,119
32,155,23,27,29,40,9,4,22,24,28,0,9,4,5,20,1,30,315,143
28,78,6,13,13,20,7,6,8,9,17,1,11,2,4,16,0,16,165,84
41,64,11,15,41,35,11,8,13,30,24,5,12,11,6,17,6,97,218,221
287,238,239,76,123,104,22,45,120,76,122,8,29,86,24,96,8,152,1089,721
260,334,72,58,138,85,20,35,114,77,135,16,27,47,24,82,13,134,967,669
53,124,55,26,72,67,7,13,17,19,37,2,13,6,0,25,1,59,404,179
42,349,122,47,98,245,17,19,61,38,65,6,25,8,6,40,6,111,920,366
13,107,6,23,39,75,3,10,26,13,25,3,8,2,2,16,0,22,266,117
257,539,163,86,105,109,33,38,72,62,107,8,23,11,34,80,7,86,1292,490
165,278,15,20,66,39,7,21,25,24,27,5,22,6,30,30,0,63,590,232
121,96,22,13,10,9,1,14,42,21,24,4,6,10,11,18,12,28,272,176
44,186,72,31,48,66,36,57,177,95,91,17,20,40,87,88,53,128,483,796
60,235,104,55,74,87,45,70,229,133,141,35,26,64,298,171,56,178,660,1331
1818,534,252,112,124,82,62,91,277,190,238,17,39,183,120,224,70,372,2984,1730
548,386,193,87,159,130,25,73,137,115,137,19,36,85,52,106,22,209,1528,918
255,349,98,72,151,152,22,42,107,79,118,17,23,44,24,94,6,149,1099,661
108,295,49,85,114,131,12,28,79,48,87,16,35,24,12,84,4,97,794,486
7,94,10,3,40,87,2,2,8,6,26,0,1,0,1,12,0,10,243,64
119,205,65,40,66,65,25,29,78,37,70,7,10,15,27,49,4,58,585,355
227,272,28,28,65,46,21,26,72,96,113,8,17,27,44,46,13,107,687,543
0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,1,4,2
64,99,54,19,25,14,28,46,147,53,71,16,6,33,134,60,29,99,303,648
259,645,400,163,203,219,370,369,1371,344,574,190,117,171,2468,775,326,728,2259,7064
222,500,412,147,186,128,185,229,793,398,360,57,102,175,831,536,198,516,1780,3966
2577,478,311,108,151,62,72,136,428,281,344,61,47,242,207,323,106,320,3759,2359
1234,499,423,117,148,142,29,89,287,174,272,27,56,141,113,203,53,302,2592,1628
661,482,104,84,154,139,17,66,170,95,163,26,51,56,69,119,24,223,1641,996
38,212,49,47,85,82,9,10,33,39,31,0,16,9,6,35,2,83,522,254
4,33,1,1,20,21,2,0,1,3,5,0,3,0,0,0,0,3,82,15
0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,1,3
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,2
145,187,157,36,67,127,20,19,68,27,59,9,14,16,13,55,11,71,739,343
75,122,54,19,31,59,17,26,59,37,50,9,20,22,13,29,8,323,377,570
645,335,180,64,148,91,54,42,155,131,174,25,34,40,50,111,47,232,1517,999
1906,426,176,80,152,61,53,42,138,154,232,17,44,95,75,205,41,180,2854,1181
117,77,16,4,14,5,1,3,5,15,10,1,2,8,4,6,3,20,234,74
1860,247,117,54,91,78,83,85,257,103,139,16,12,139,86,169,77,202,2530,1200
90,269,182,96,126,56,208,116,492,107,196,26,45,116,437,279,167,328,1027,2193
176,424,284,124,190,102,357,245,900,170,320,59,130,177,1240,623,238,494,1657,4351
